Score,Group
3.61,Margherita
6.88,Margherita
8.68,Margherita
7.05,Margherita
3.22,Margherita
4.77,Margherita
7.4,Margherita
4.44,Margherita
6.17,Margherita
6.66,Margherita
4.11,Margherita
5.41,Margherita
0.64,Margherita
3.96,Margherita
5.12,Margherita
3.63,Margherita
7.95,Margherita
3.35,Margherita
4.84,Margherita
5.7,Margherita
7.66,Margherita
3.35,Margherita
7.24,Margherita
5.52,Margherita
4.03,Margherita
6.19,Margherita
5.8,Margherita
4.6,Margherita
5.6,Margherita
4.92,Margherita
5.67,Margherita
6.49,Margherita
7.88,Margherita
3.64,Margherita
8.7,Margherita
2.57,Margherita
5.27,Margherita
6.38,Margherita
5.92,Margherita
4.57,Margherita
5.19,Margherita
4.76,Margherita
4.62,Margherita
6.77,Margherita
6.04,Margherita
4.46,Margherita
6.85,Margherita
5.96,Margherita
6.72,Margherita
6.44,Margherita
4.26,Pepperoni
4.66,Pepperoni
6.62,Pepperoni
6.42,Pepperoni
5.47,Pepperoni
5.68,Pepperoni
7.42,Pepperoni
4.61,Pepperoni
6.32,Pepperoni
5.2,Pepperoni
5.17,Pepperoni
7.15,Pepperoni
6.74,Pepperoni
6.72,Pepperoni
7.46,Pepperoni
5.53,Pepperoni
6.52,Pepperoni
5.03,Pepperoni
5.99,Pepperoni
5.3,Pepperoni
5.65,Pepperoni
6.39,Pepperoni
4.27,Pepperoni
8.64,Pepperoni
3.99,Pepperoni
3.68,Pepperoni
7.24,Pepperoni
6.69,Pepperoni
6.44,Pepperoni
6.44,Pepperoni
5.48,Pepperoni
4.15,Pepperoni
5.61,Pepperoni
4.48,Pepperoni
6.96,Pepperoni
5.28,Pepperoni
4.26,Pepperoni
5.02,Pepperoni
6.12,Pepperoni
4.65,Pepperoni
4.27,Pepperoni
5.87,Pepperoni
5.87,Pepperoni
4.74,Pepperoni
4.79,Pepperoni
5.85,Pepperoni
3.33,Pepperoni
3.39,Pepperoni
4.42,Pepperoni
5.18,Pepperoni
5.97,Hawaiian
7.71,Hawaiian
6.79,Hawaiian
5.26,Hawaiian
5.47,Hawaiian
4.0,Hawaiian
5.47,Hawaiian
5.07,Hawaiian
5.98,Hawaiian
4.26,Hawaiian
6.28,Hawaiian
7.8,Hawaiian
5.34,Hawaiian
6.1,Hawaiian
6.54,Hawaiian
4.9,Hawaiian
5.84,Hawaiian
5.52,Hawaiian
5.65,Hawaiian
4.34,Hawaiian
5.54,Hawaiian
6.25,Hawaiian
7.68,Hawaiian
6.94,Hawaiian
8.73,Hawaiian
4.35,Hawaiian
6.81,Hawaiian
5.78,Hawaiian
8.78,Hawaiian
4.29,Hawaiian
4.24,Hawaiian
4.6,Hawaiian
2.31,Hawaiian
4.71,Hawaiian
4.36,Hawaiian
5.73,Hawaiian
6.01,Hawaiian
8.31,Hawaiian
6.93,Hawaiian
4.63,Hawaiian
4.15,Hawaiian
6.24,Hawaiian
3.52,Hawaiian
8.25,Hawaiian
7.27,Hawaiian
4.8,Hawaiian
2.93,Hawaiian
7.53,Hawaiian
5.33,Hawaiian
7.36,Hawaiian
3.11,Quattro Formaggi
4.6,Quattro Formaggi
5.51,Quattro Formaggi
5.57,Quattro Formaggi
4.82,Quattro Formaggi
6.43,Quattro Formaggi
3.9,Quattro Formaggi
5.29,Quattro Formaggi
5.68,Quattro Formaggi
6.27,Quattro Formaggi
6.57,Quattro Formaggi
3.81,Quattro Formaggi
3.2,Quattro Formaggi
7.42,Quattro Formaggi
6.0,Quattro Formaggi
4.38,Quattro Formaggi
7.83,Quattro Formaggi
5.67,Quattro Formaggi
7.27,Quattro Formaggi
5.6,Quattro Formaggi
8.59,Quattro Formaggi
8.13,Quattro Formaggi
5.13,Quattro Formaggi
6.96,Quattro Formaggi
6.47,Quattro Formaggi
7.55,Quattro Formaggi
4.05,Quattro Formaggi
6.53,Quattro Formaggi
7.09,Quattro Formaggi
2.86,Quattro Formaggi
3.73,Quattro Formaggi
2.44,Quattro Formaggi
5.1,Quattro Formaggi
6.58,Quattro Formaggi
7.75,Quattro Formaggi
5.61,Quattro Formaggi
7.94,Quattro Formaggi
3.43,Quattro Formaggi
2.94,Quattro Formaggi
5.42,Quattro Formaggi
6.08,Quattro Formaggi
5.45,Quattro Formaggi
2.4,Quattro Formaggi
5.37,Quattro Formaggi
3.54,Quattro Formaggi
6.5,Quattro Formaggi
6.05,Quattro Formaggi
4.09,Quattro Formaggi
4.73,Quattro Formaggi
3.91,Quattro Formaggi
5.41,Vegetarian
6.93,Vegetarian
4.02,Vegetarian
6.26,Vegetarian
4.7,Vegetarian
4.31,Vegetarian
5.34,Vegetarian
3.95,Vegetarian
4.67,Vegetarian
3.7,Vegetarian
8.45,Vegetarian
5.55,Vegetarian
4.45,Vegetarian
5.82,Vegetarian
