Y,X_1,X_2
43.25,890.0,0.71
120.5,1635.0,8.51
61.7,1121.0,3.44
53.75,987.0,1.7
20.0,841.0,0.6
91.25,1391.0,5.99
75.05,1478.0,6.94
20.0,817.0,0.55
67.85,1312.0,5.07
49.1,1026.0,2.11
127.25,1445.0,6.27
20.0,974.0,1.58
103.25,1491.0,6.89
34.55,1187.0,3.94
109.85,1737.0,9.42
46.25,938.0,1.54
56.75,1141.0,3.41
20.0,913.0,1.43
107.75,1725.0,9.19
107.6,1677.0,9.32
32.75,1058.0,2.7
97.1,1460.0,6.43
112.25,1617.0,7.96
65.9,1355.0,5.65
108.95,1330.0,5.25
51.05,1042.0,2.56
20.0,893.0,1.03
117.35,1697.0,8.96
109.25,1700.0,8.83
107.45,1433.0,6.03
46.1,1139.0,3.3
50.3,1149.0,3.66
102.65,1526.0,7.3
133.85,1697.0,8.72
94.25,1687.0,8.91
94.85,1580.0,7.88
85.1,1442.0,6.24
20.0,884.0,0.87
63.2,962.0,1.63
126.65,1699.0,8.76
62.9,1406.0,6.14
31.7,809.0,0.2
56.6,901.0,1.23
99.5,1464.0,6.85
20.0,805.0,0.0
34.7,961.0,1.42
93.8,1349.0,5.59
79.25,1492.0,7.02
92.3,1452.0,6.62
34.4,1024.0,3.01
