time,value
1,50.0
2,57.1503
3,52.9749
4,50.1044
5,56.8372
6,60.0731
7,59.1336
8,61.3779
9,57.6722
10,60.334
11,60.0731
12,63.1524
13,62.3695
14,59.238
15,70.9812
16,69.833
17,65.3967
18,78.3925
19,73.4342
20,80.7411
21,86.691
22,86.0647
23,93.9457
24,84.2902
25,95.6159
26,92.9019
27,94.9374
28,99.5825
29,104.2276
30,109.499
31,106.524
32,120.8768
33,122.286
34,115.5532
35,135.2296
36,141.3361
37,141.6493
38,138.7265
39,138.3612
40,153.81
41,150.7307
42,163.7787
43,163.2046
44,172.0251
45,173.6952
46,180.5324
47,181.9937
48,196.5031
49,193.1628
50,200.0
